Index	Content
324	and like the only thing people talked about and it's like it's just ridiculous right like hey hey there's a new smart. contract you put money in you get some yield here and then you get the token cool now you get the token you dump it
325	your yield is now this amount which is like let's say like 300% that's Bonkers um people thought it. was a scam and like they they all just kept talking about it and it was just a very strong momentum and attention right
326	and then it's like oh now there's like some funds like deploying some like Capital you know why. not like let's deposit like we have a big fund let's slam a mill into like this Farm get some risk-free return or
327	like unless you get ruged which I assume some of these funds had like a like a. dude who AC actually can re read some code and be like hey you know this seems pretty safe or or not right so a lot a
328	lot of funs funds started farming defi like later on um and that was like like. like one of the main things a lot of funds did in 2021 but yeah in 2020 they they were just getting started and yeah
329	it was like pretty much the only new thing where you can like Leverage on chain like B of money on chain and then. just like do this and that like some some funny mechanisms where people have never been able to do before um or they
330	could but there there was just like no no size at all um I I actually remember I deposed at one e into. Dharma um in 2019 and then I was getting 4% yield and I was like yo this is like
331	so cool like like I I can see like this eth going into the pool. and then like uh actually back then it was like individual pools so if you want to borrow eth you have to like either
332	find a someone who's like willing to lend out the same amount or something but yeah it was it was badly designed I. think uh but I can see the exact address that borrowed my eth uh and I was like
333	yo that's fascinating like I know he have to pay back cuz like he's going to get liquidated for a way more uh amount. of usdc if he does not pay back right so and that usdc goes back to paying me uh buying like one e and sending it back to
334	me right so um I knew it was safe uh unless like we really just like abruptly. like sent like 100% in like one minute with no like like liquidity to cover which was like not really possible but
335	like yeah like there there something really insane has to happen for TW sounds like you know in 2019 you were. experimenting with things with defa you kind of knew how it worked and then in 2020 you know like more like de Dev
336	started to build you start to see like actual functioning apps comp a etc um do. you think you know like for the next I mean like talking about like the present um do you think something has to be new
337	Other Sectors like RWAs. in chiny for it to pump um for example like defi seems like a more mature market now like do you think there are
338	investment opportunities in defi or do you like if if you were starting a new account and you're trying to like run it. up what sectors do you think has the most am opportunity oh there's so many
339	sectors now and honestly I I don't really know like half of them to be honest cuz like like like if you tell me. about games and Ai and like like I just have no idea like like
340	I feel like games uh they make some revenue from like I don't know selling skins or some [ __ ] and then it's like. okay are people buying and then like you I guess you can project something but AI is just like such a new world to me like
341	I don't know anything about AI so I'm just not going to talk about it but some. people may actually know something about it and then they can be like okay cool uh this this like I don't know right
342	like they can make some stuff up about or they may see something like people don't and then if you believe in that. like AI narrative to to happen then sure um and then now we have like rwa which I
343	also don't know about because it's like I do like real world are you serious like you're a cat like I thought we were. trading I thought we were trading like magical internet money like what is this real world stuff like that's crazy um so
344	yeah I mean but but like I I am kind of foolish on on it cuz just like the overall fact. that you can just earn yield like yield is like everything Yi related to yield and just giving out free money is just
345	foolish right because it's like it's it's just it's just a me. people have always uh accepted and like like about like just earning over time
346	so yeah anything with yield is just is just good in my opinion it's a good thesis so you like someone could see. something there and be like okay this is like clearly like undervalued like the this sh one or that sh one like I don't
347	want to name or like um talk too much about like specific projects I like. honestly I don't even know like how safe they are right but if if you know then you know right so so
348	it's like yeah I think DJ Spartan tweeted this it's like like passive income meme is much more attractive than. like hotle wagy you know like that caval um and like that's one of the reasons he likes take either um real world assets
349	also it's like yield skills right like most defi Farms the more TVO goes in the yield dilutes like I like for example. blast um but if it's like treasuries or other types of debt it's like well yeah like billions can enter and the yield
350	all the same um do you think like rvas can be like a sector that people are underestimating like do you think crypto. natives inherently don't like rvas because it's like oh real world like I I love my magic internet money uh do you
351	think it's like a sector that people are like people think that they're overlooking uh I don't think they're overlooking cuz like we already have a. lot of people talking about it and then it's like well like I I honestly do not know like what's the exact mechanism
352	people are bringing like oh whatever yield from whatever government is like to on chain like like there there's few. forms where people are also just buying like oh like yeah hey our protocol owns
353	like a thousand houses here we're renting them out and this is your passive income and like yo what. like like like like I like out of no clue how legal that is or like just how
354	ruggable that is or like how safe it is but if you know it's safe like and you. think it's undervalued I think I think then they they can that can be a good play um also I feel like a part of the
355	meme is like not really about us but like a lot of new buyers are not going to be are going to be kind of like a mix. of just like our generation and then the older generation which probably prefer something that sounds like something
356	they already know which is like RW would be something they kind of know right and then I feel like that's also why Ripple. always got a persistent bid it's just like hey we partner with banks it's complete like scam but like that sounds
357	so legit right so it's like it's it's a great Ponzi like they just keep saying yeah we yeah dis spank yeah. International wire bro like it's like they just get a per a bed it's like that's that's just crazy um yeah yeah no
358	like I used to play poker and I was in these poker discords and there was like this one guy was so adamant that like. xrp wasn't hit $1,000 and nothing could shake his confidence on that um and
359	they're like people that yeah I have no idea um but if I how many years has it. been does he still think it's going to a th yeah yeah no like for sure like he's he's very what the
360	[ __ ] yeah I mean I guess it's partly crypto YouTube and when that right like you mentioned earlier like the crypto. Role of Influencers in Crypto
361	markets are more and more influenced I guess by influencers because People's Source of Truth are like whatever you. know people see on the internet like do you think that's healthy for the markets or do you think it's just natural evolution of this you know this eternity
362	online eternally online society that it seems like the younger generation is uh becoming a part of yeah I think it is. and I I think at some point it is going to be really really bad uh get to a point where it's just so bad that we try
363	to find another system that helps it get better again uh which is why I was so. just into like some kind of rep system like so we can like like even AI is
364	getting really good right so it's like yo if we can't even distinguish like a celebrity between like if are they even. real like like we can't even tell right cuz it's like especially in this industry like it's completely acceptable
365	at this point that you're just like some character so if there's some like weird cartoon character animal that's like. screaming out tickers and they just keep pumping like if they're in AI like they're going to be like the overlord of
366	like a corner of Twitter where like they can just keep influencing the market right and then it's. like or just like way more like of these like water accounts or like fishing like
367	scam and like just that just like scam people right just tweet links DM people random like promotion stuff uh yeah I I. I can see it getting pretty bad and it's really hard to for like one entity to filter
368	all of these out cuz like if there is a rule like on like on. the internet I feel like it's or or just like overall like I feel like you there is like a way around it so it's just
369	like hey we did this implementation to like get out get the BS out and then. like you you have like a million team of like people who just want to like code
370	some BS SP to like scam some money like it's like no risk but full return right so it's like it's such a great thing to. do uh if you're just if you just don't care about like ethics and uh just want to make money right um so you got all
371	these smart people that's just going to find what the rules are and just spend around it and just keep you know buying. social media accounts and like going for it um I I think it it it will get pretty
372	bad and then like a rep system where like if everyone if every like actual. living being participate in it then it's it becomes much more harder for like a bot to really infiltrate um although
373	that's like obviously at the cost of like the entire Society putting time in into into this and um yeah although in. real life the entire Society do put time into this which is why I thought it could kind of work cuz like like if we
374	meet and like a group of friends me they might talk about hey you know that guy. I I don't trust him because he did this and that and like Words spread right but
375	it doesn't spread as easily here I feel like or just people just forget forget cuz like these posts get buried in a. week or month and then or people just restart an identity it's really easy to like restart an identity but it's hard
376	for an identity to really like stay and like get really big so yeah so I mean. Thoughts on Friend.Tech
377	with like the rep system um I think you wrote a blog post around frch like I think recently like the keys have come. down across the board are you still bullish frch or like where do you think it goes from here yeah I always thought frch was a
378	mix of just like a mix of both rep and something else a bit of. like how much how active you are or like how how much e are you spending kind
379	kind of and then like and then there's like a bit of Ponzi where there's 33 going on and then there's a bit of like. actual utility where it's like okay I can buy this like maybe there's like I
380	would say maybe there's actually at least five good Traders on the platform where you know there's genuinely uh like. a justifiable lifetime price to pay for um but personally I I don't really need
381	that cuz like I it's really hard for me to trade off other people's opinions. um kind of like if you log into someone else's trading account and you see like five positions you don't really know why
382	they're open where they think it's going to go like you you have no clue how to manage these from that point on right so. it's kind of the same where it's like okay this guy said this goes up okay by how much I don't know like uh or
383	like if they say by how much like I I don't know like it's just like it's just not your trade so it's like really hard. for you to have a conviction in it and then like it might draw draw down a bit
384	and you might panic but like if that guy have way more conviction than you he might hold and he might be right right. so it's like a lot of this is like really hard to for me at least um yeah yeah so I I
385	don't really do that but but on yeah there is some value there and then a bit. of like influence and that but overall I still really like that platform to be honest um I've met like a lot of uh
386	people there and part of it was actually just me buying a bunch of accounts that. are of the Asian community and I bought some like Middle Eastern people and then
387	they're like hey yo uh if you want to get into like our like my homies like group chat like here's a link uh and. then I joined these chats right it's like really cool like just to see what they're talking about and it's like I
388	thought that was like probably like obviously it's not worth like what how much I spent like I'm not going to say. but yeah but that was still at least something came out of it it wasn't just like I bought like a scam and then it
389	went to zero um I'm still quite happy with how it played out so far yeah. although uh uh yeah like it could have it could be better
390	but yeah uh not complaining I hope the points are wor something but you know we still don't know I this point yeah like. How to Utilize Crypto Twitter
391	you mentioned earlier like you know it's if someone talks about their trade or you see someone's trade it's really. hard to build conviction because you don't know why they put on a trade you don't know their time Horizon and it
392	seems like you know crypto Twitter and CT it seems like people just throw out tickers um and say it's going to go up. and what not like as a valuable member of the CT Community how do you like how
393	would you recommend an average person like utilize crypto Twitter it yeah that's another problem it takes a lot of. time to get good at this as then to even know what you're reading is like how legit this guy is like I feel like as
394	you spend time on this website you kind of like un subconsciously subconsciously build like a like. a kind of like how legit they are score um and then they are like a okay uh this
395	guy is not very good um but this guy's pretty good so I think it's pretty uh. innate for like they most people probably kind of have a sense of how to use it
396	but yeah I would just say yeah just uh just yeah I I guess just find people and. see if they're like I mean a lot of their tweets can be back tested and then it's like if they like a lot of accounts
397	do delete tweets but I feel like it could be pretty obvious as you follow them too. um yeah uh and I I would definitely always make my like your your own
398	decision um just cuz like that's how you actually really get good. at something not like from you know listening to others yeah so first of all like I
399	really appreciate you taking the time um but I'll try to get into the rapid fire question section um so you mentioned. earlier um and this was surprising to me uh you know you your biggest I guess win
400	CL's Trading Style. was like 2 to 300K and you typically don't try to hold like hold trades for a couple days to a couple weeks like why
401	is that like Haven haven't there been High conviction trades that you don't mind holding for months at a time or do. is that like more your trading style your personality you want to talk about that yeah I think it's a bit of both
402	where it's like I I tend to find it hard I mean like everyone's different um. but I I like it's hard for me to have conviction on something that's just like
403	like on like a higher time frame just cuz like the oner just gets bigger and bigger right as more time there is to. for you to guess what's going to happen um yeah so even when Bitcoin was breaking out of like 12 to 16 to 20K
404	like I I was pretty sure all that was going to happen but like I I could only hold a position to like 16 for example. right cuz like I knew like I retrace would come and then it's much harder for me to mentally reong like 15K it's like
405	bro I've never longed my whole life I like my two years of two three years of trading so far has been uh Bitcoin has. like 5K akk you know like 15's crazy so I think it takes some skill too to
406	adjust to that but and like I should have thought about like yo this is time. where you do not think about what the [ __ ] the price is when you're longing like you sold 16 it's time to Reby 15 if
407	you think it's going 20 right like but I I I didn't Reby the size I want but also. just like if you're if you're on like some form of Leverage which I was then
408	it's really hard to hold a position from 12 to 16 and then just keep holding even. though you know like we're going to like work to like 14 or 15 just from like some profit taking and then it's
409	like like you get you got to hold that for like a week two week like that's crazy like like it's really hard to. sleep it's really hard to uh do a lot of things where like and then you just have like a massive mental
410	block on your head where it's like I have a ridic ridiculously sized position on this magic internet money which I. think is going to 20K but I know for this week it might scam me so like like it's just like you're going
411	to suffer for that like a like 10 days to like uh I'm very much of like a life. maximalist where it's like or happy maximalist where it's like hey you know
412	just yeah I yeah I do not want to win more just just let get me out of the stress so I'm more of that kind of yeah. nice nice nice uh like what what do you think are like common traits of successful successful Traders I mean
413	Common Traits of Successful Traders. obviously you have a bunch of friends who are amazing Traders um we've seen people blow up come and go um yeah do
414	want to talk about like what makes someone successful when it comes to investing or trading your group though um obviously uh get risk management. um most people I know do really well are pretty humble um and then the The Not So
415	humble wantes tend to go bigger but I've seen them draw down also much more. um yeah just like good ego good being humble
416	um good at risk uh being H like having the ability to know you're wrong having. like the ability to think you're you're not like you can be wrong and you're not like Invincible or like just like know
417	everything U yeah I think that's really good Yeah Yeah you mentioned risk management but it seems like you know. you you like to turn up the you know the leverage up right um and sometimes you
418	can't get good sleep and whatnot uh what are your risk management I guess rules or like what are some rules you live by. when it comes to trading on Leverage uh well usually I always baby in my positions
419	like I might play a game with League or two but like you know I can still Tab out and be like okay it's not it's not. necking to zero right now or like going to Infinity where I'm sure you know
420	but overall I mine's mine's just very momentum based like or kind of just like monetary base. if I'm down like six F I'm definitely looking to cut uh even if I think it's going to bounce in favor of my position
421	just because I tend to have this system where if I'm wrun by that much margin. then I do not deserve to be Break Even to begin with even if I think it's going to like uh retrace to my immediately or
422	something um so this I guess this this this part of trading is where I see it as a game and not like real money yeah. got it yeah some of the some of the trading stuff I do is not definitely not very um I guess like just perfect EV or
423	something yeah yeah like do you think that the majority of your trades are more gut feeli driven just because. you're just always staring at the charts you kind of know how these markets move um yeah like is how how important is G
424	feel to you it's pretty a good amount and then there's always uh kind of like a a feel. of like where like a price level is I mean it's pretty obvious where like people get liquidated and stuff but yeah
425	there's also a gut view of like How likely how like how how bad that is like. that move is going to get if we go to this level or that level right cuz like you kind of have to like because like I
426	feel like the data is not as trans you kind of have to like take some leaps of assumptions where I think like if we. like de five person here we utterly [ __ ] because you know that destroys everyone on X20 leverage which is like pretty
427	common honestly for just Market to have and then it's like if you also assume a lot of positions are open at like high. leveraging like around the same price we've been consolidating and then if we move like against all these position
428	they're going to have to close and then that's going to cause like probably way more moves uh in percentage wise and then yeah so. those kind of gu fields are pretty it's both a GU feel and like somewhat
429	quantitative I guess in a sense but yeah yeah so you mentioned you're like a momentum tra Trader um and you know like. you might be aing the top but you're going to Long uh do you have any examples of like recent trades that you've taken whether they be Bitcoin eat
430	salana things like that uh where you've used that system and how did that turn out for you yeah uh I mean like earlier. today Bitcoin was at like what 30 377 and I just long and that's like the
431	highest been in like I don't know a week or so and then I just sold at 38 flat um. so I mean that's just like pure momentum and then yeah didn't make a ton on it
432	maybe like 10K but yeah I I I don't trade a lot. anymore but like today I'm home so and I kind of saw like like okay the the
433	moment Syms just crazy it's definitely going to like test 38 some somehow so yeah yeah but seems like you go off VI. crazy yeah I mean this is just like such such intraday BS stuff going on like
434	honestly not even worse talking about but yeah got it got it so a few more questions then I'll let you go um what. Biggest Misconceptions about Crypto
435	are some biggest misconceptions about the crypto markets that you see a lot oh I I love the they are going to dump or. like they're going to protect the P it's like who who they bro like they like they do not exist you know like there is
436	no like God in this market that's like yeah they're protecting it or like. they're going to like send it or I feel like that's like some misconception people have there there is just like a
437	lot of [ __ ] rich kids and a lot of [ __ ] rich people in general like. that's in this right and they're they're all they all love to gamble and they're all gambling on a lot alongside you
438	right so it's like and you might not know why they're buying and selling so it's like when price don't react to. something you like hey why don't we dump like there's such bad news like like the person buying might not even know what's
439	going on they just wanted to buy and [ __ ] off right like like some some things cannot just be can just not be. explained and like you don't have to think it's like some weird like like
440	like they that's like influencing the market yeah yeah I think it's normal for. humans maybe you don't understand cuz you're a cat but I think every human wants to rationalize why something has
441	happened um but sometimes the markets move and you just have to react right. yeah yeah yeah yeah so final question I have for you um yeah I have a lot of
442	viewers uh they're listening to this podcast and they want to make it uh like how do you think you know like an. average retail Trader can make it next cycle uh do you have any life lessons life a life outfit that you want to
443	share oh my God this this is always the hardest question cuz it's like what do you say to help like all these people. get rich [ __ ] I do not know bro like I'm trying to I it's pretty hard for me to
444	get richer myself like like honestly I do feel like big accounts are overrated small. accounts are underrated on average and then I think there's a lot of alpha in these
445	like onchain Traders and a bunch of the smaller centralized exchange Traders where not many people are following as. much just cuz like they don't ship host as often and then yeah I I I think a lot of big
446	accounts are pretty like just overrated in general um they do have a lot of say in like just momentum of shitcoins cuz. like you you I mean you know if like everyone over 100k follower tweeted a
447	ticker like bro that shit's going to send right but like like a like a smaller account may be talking about. stuff that that's that's less just like less aggressive but actually like kind of valuable um or
448	it could be talking about something that big accounts cash on later um yeah yeah. so would you say that maybe this obscure coin just like pumped a lot um for
449	whatever reason maybe is it like worth maybe going on Twitter looking up the ticker Identify some accounts that. talked about it before um and then try to network with them talk to them uh is that like do you think how important is
450	like networking you think oh yeah networking is amazing I mean like you you can like a lot of these group chats. they're not exclusive at all they're just like yo if you're if you're just like a nice guy out there and like you're cool like people
451	are just going to add you right like to a bunch of random like chats they may be good they may just be playing games so. like eventually you make friends with them and like some like some some of the bats they take do make money um and it's
452	like or or or or you just all get wucked together I don't know right like but like I I think a lot of the. small C out there especially like maybe been around for a while like
453	if they survived like all the FTX and like all the rugs and like implosions. Luna never holding a single us like they they're pretty smart right like so I feel like or not if they're not smart at
454	least they're good at risk so like the chances of you like like if you can get in touch with. like a group of these friends or like like smaller people on Twitter I think that's pretty [ __ ] good and it's like
455	you don't have to be like following the big accounts like I I like even for me like I don't feel like I tweet much. saying stuff useful for you guys or they say for anyone right like maybe apart from like hey I think Bitcoin eats that
456	and then like someone with this size may have a more opin like some opinion or actionable thing to do but like. I I don't feel like a lot of stuff I say are very super valuable yeah yeah
457	actually the last thing I wanted to talk about this is just pure SHP posting but. CL's Relationship with Unisocks
458	um I asked on Twitter if people have any questions and an overwhelming majority. of them let me try to pull this up actually uh they're they're asking about
459	unisox so you have this meme where you're just like jerking off the unisx right like what like what's the origin. behind that and how many shots can a uniso hold
460	um so I remember just like one day I I came across this shitcoin worth $3,000. 4,000 $45,000 um and it's just like this suck from Unis Swap and I was like okay this
461	like this is the most ridiculous thing I've ever [ __ ] seen my whole life right like eth was at like 1K back then. or like no no no eth was at 200 and this show was at 5K CU like this was like 2020 right and it pumped because uh
462	every stockholder was going to get like the uni drop so I pumped to 10K everyone. bought it and then like it just stayed at like 3 4K for a long time and I was just like I bought like 10 gave five out
463	for free and uh I was like yo this is just absurd I feel like and just how absurd the fact that it was at 5K kind. of just made it keep going up and now it's just holding at 40 um I mean and that itself is just [ __ ] ridiculous
464	right like why the [ __ ] do people hold this I don't [ __ ] know which is why I'm holding it uh I mean it's just for. fun like I don't know if it goes like much higher um I don't think many people hold it
465	like to to like dump so I don't think it goes too much lower like again I don't I don't know who the [ __ ] would buy this. so it's just probably GNA maintain at some value all the time just because it's like ridiculous you're you're
466	avoiding the original question man like how much come can a uniso hold if a uniso can't hold come that's that's the. original question okay uh so
467	uh uh some some questions are better left un asked uh for the sake of our our. industry okay okay for the sake of our industry we'll keep that a secret all right all right I think that I think I
468	think we'll wrap it up there um we'll let the audience kind of simmer on that question um and we'll leave it to their. imagination thank you CL do you have any final words for our audience
469	today uh yeah none not wating all right all right all right all right all right. thanks cat uh talk see you later man okay
470	bye-bye. No results found
471	TAP TO RETRY. English (auto-generated)
472	English (auto-generated). NaN / NaN
473	Now playing. crypto traders be like...
474	Joma Tech. Joma Tech
475	Verified. •
476	•. 3.6M views
477	2 years ago. Now playing
478	I read "Best Loser Wins" so you don't have to. Taiki Maeda
479	Taiki Maeda. •
480	•. 17K views
481	8 months ago. Now playing
482	Sherlock  stop it! we shouldn't giggle at a crime scene. Kat Hammerich
483	Kat Hammerich. •
484	•. 579K views
485	11 years ago. Now playing
486	How to Not Midcurve Crypto w/ Qiao Wang. Taiki Maeda
487	Taiki Maeda. •
488	•. 13K views
489	7 months ago. Now playing
490	How to Make it This Cycle w/ CryptoMessi. Taiki Maeda
491	Taiki Maeda. •
492	•. 25K views
493	4 months ago. Now playing
494	Understanding Bitcoin Derivatives with CL207. Blockware
495	Blockware. •
496	•. 13K views
497	2 years ago. Now playing
498	FPJ's Batang Quiapo | Episode 402 (1/2) | August 30, 2024 (with English Subtitles). ABS-CBN Entertainment
499	ABS-CBN Entertainment. Verified
500	•. •
501	2.5M views. 1 day ago
502	New. Now playing
503	How DeFi Supercharges your Crypto Portfolio. Taiki Maeda
504	Taiki Maeda. •
505	•. 17K views
506	5 months ago. Now playing
507	PALAGI - TJxKZ Version | OFFICIAL LYRIC VIDEO. TJ Monterde
508	TJ Monterde. Official Artist Channel
509	•. •
510	1.3M views. 4 days ago
511	New. Now playing
512	Are NFTs Coming Back? Interview with Blur Founder - Pacman, Blur, Ep. 248. The Blockcrunch Podcast with Jason Choi
513	The Blockcrunch Podcast with Jason Choi. •
514	•. 1.6K views
515	10 months ago. Now playing
516	Crypto Ponzis & Game Theory w/ Jordi Alexander. Taiki Maeda
517	Taiki Maeda. •
518	•. 12K views
519	8 months ago. Now playing
520	Are We in a Supercycle? w/ Su Zhu. Taiki Maeda
521	Taiki Maeda. •
522	•. 23K views
523	4 months ago. Now playing
524	High-stakes Poker to Crypto Whale w/ Jason Mo. Taiki Maeda
525	Taiki Maeda. •
526	•. 7.6K views
527	7 months ago. Now playing
528	Why Most Altcoins are Uninvestable Vaporware w/ thiccy. Taiki Maeda
529	Taiki Maeda. •
530	•. 7K views
531	10 months ago. Now playing
532	How to (Not) Underperform your 2nd Cycle w/ Wangarian. Taiki Maeda
533	Taiki Maeda. •
534	•. 26K views
535	5 months ago. Now playing
536	Why Jupiter on Solana will be bigger than Binance with Anatoly and Meow. Good Game Podcast
537	Good Game Podcast. •
538	•. 12K views
539	8 months ago. Now playing
540	What Are Binance Perpetual Futures Contracts ｜Explained for beginners. Binance Academy
541	Binance Academy. •
542	•. 148K views
543	5 years ago. Now playing
544	Why ETH is Cucked w/ Wangarian. Taiki Maeda
545	Taiki Maeda. •
546	•. 16K views
547	8 months ago. Now playing
548	How an On-Chain Whale Navigates DeFi w/ Blurr.eth. Taiki Maeda
549	Taiki Maeda. •
550	•. 12K views
551	9 months ago. Now playing
552	I read "Trading in the Zone" so you don't have to.. Taiki Maeda
553	Taiki Maeda. •
554	•. 6.9K views
555	7 months ago. Show more
